#Quantes vegades vols fer f(x)?
#Quin vols que sigui el pas?
#quin vols que sigui h?
1.460000e-01 9.974748e-01 5.660153e-02 3.155046e-01 -2.915318e+00
1.470000e-01 9.974996e-01 -6.970560e-03 3.126230e-01 -2.848018e+00
1.480000e-01 9.974611e-01 -7.000450e-02 3.098084e-01 -2.781180e+00
1.490000e-01 9.973598e-01 -1.325018e-01 3.070605e-01 -2.714834e+00
1.500000e-01 9.971963e-01 -1.944640e-01 3.043786e-01 -2.649007e+00
1.510000e-01 9.969710e-01 -2.558926e-01 3.017623e-01 -2.583727e+00
1.520000e-01 9.966847e-01 -3.167892e-01 2.992110e-01 -2.519019e+00
1.530000e-01 9.963376e-01 -3.771553e-01 2.967240e-01 -2.454907e+00
1.540000e-01 9.959305e-01 -4.369923e-01 2.943009e-01 -2.391415e+00
1.550000e-01 9.954638e-01 -4.963019e-01 2.919410e-01 -2.328566e+00
1.560000e-01 9.949381e-01 -5.550855e-01 2.896436e-01 -2.266380e+00
1.570000e-01 9.943538e-01 -6.133446e-01 2.874080e-01 -2.204878e+00
1.580000e-01 9.937116e-01 -6.710809e-01 2.852336e-01 -2.144078e+00
1.590000e-01 9.930118e-01 -7.282958e-01 2.831196e-01 -2.084000e+00
1.600000e-01 9.922552e-01 -7.849908e-01 2.810653e-01 -2.024660e+00
1.610000e-01 9.914420e-01 -8.411675e-01 2.790700e-01 -1.966074e+00
1.620000e-01 9.905730e-01 -8.968274e-01 2.771329e-01 -1.908258e+00
1.630000e-01 9.896485e-01 -9.519720e-01 2.752533e-01 -1.851226e+00
1.640000e-01 9.886692e-01 -1.006603e+00 2.734302e-01 -1.794991e+00
1.650000e-01 9.876355e-01 -1.060721e+00 2.716630e-01 -1.739567e+00
1.660000e-01 9.865479e-01 -1.114329e+00 2.699508e-01 -1.684963e+00
1.670000e-01 9.854070e-01 -1.167428e+00 2.682928e-01 -1.631192e+00
1.680000e-01 9.842133e-01 -1.220019e+00 2.666881e-01 -1.578264e+00
1.690000e-01 9.829672e-01 -1.272104e+00 2.651360e-01 -1.526187e+00
1.700000e-01 9.816692e-01 -1.323684e+00 2.636355e-01 -1.474970e+00
1.710000e-01 9.803200e-01 -1.374762e+00 2.621858e-01 -1.424620e+00
1.720000e-01 9.789199e-01 -1.425337e+00 2.607860e-01 -1.375145e+00
1.730000e-01 9.774694e-01 -1.475413e+00 2.594352e-01 -1.326550e+00
1.740000e-01 9.759692e-01 -1.524990e+00 2.581326e-01 -1.278842e+00
1.750000e-01 9.744196e-01 -1.574070e+00 2.568772e-01 -1.232024e+00
1.760000e-01 9.728212e-01 -1.622655e+00 2.556682e-01 -1.186100e+00
1.770000e-01 9.711745e-01 -1.670745e+00 2.545047e-01 -1.141074e+00
1.780000e-01 9.694799e-01 -1.718344e+00 2.533858e-01 -1.096949e+00
1.790000e-01 9.677380e-01 -1.765451e+00 2.523105e-01 -1.053727e+00
1.800000e-01 9.659492e-01 -1.812069e+00 2.512780e-01 -1.011409e+00
1.810000e-01 9.641140e-01 -1.858199e+00 2.502874e-01 -9.699955e-01
1.820000e-01 9.622329e-01 -1.903843e+00 2.493377e-01 -9.294873e-01
1.830000e-01 9.603065e-01 -1.949002e+00 2.484281e-01 -8.898840e-01
1.840000e-01 9.583351e-01 -1.993678e+00 2.475576e-01 -8.511846e-01
1.850000e-01 9.563193e-01 -2.037872e+00 2.467254e-01 -8.133877e-01
1.860000e-01 9.542595e-01 -2.081586e+00 2.459306e-01 -7.764914e-01
1.870000e-01 9.521563e-01 -2.124821e+00 2.451722e-01 -7.404931e-01
1.880000e-01 9.500100e-01 -2.167579e+00 2.444493e-01 -7.053899e-01
1.890000e-01 9.478213e-01 -2.209861e+00 2.437611e-01 -6.711785e-01
1.900000e-01 9.455905e-01 -2.251670e+00 2.431066e-01 -6.378547e-01
1.910000e-01 9.433181e-01 -2.293005e+00 2.424851e-01 -6.054144e-01
1.920000e-01 9.410046e-01 -2.333870e+00 2.418955e-01 -5.738526e-01
1.930000e-01 9.386505e-01 -2.374265e+00 2.413371e-01 -5.431642e-01
1.940000e-01 9.362562e-01 -2.414192e+00 2.408089e-01 -5.133434e-01
1.950000e-01 9.338223e-01 -2.453652e+00 2.403101e-01 -4.843842e-01
1.960000e-01 9.313491e-01 -2.492648e+00 2.398398e-01 -4.562803e-01
1.970000e-01 9.288371e-01 -2.531180e+00 2.393973e-01 -4.290247e-01
1.980000e-01 9.262869e-01 -2.569250e+00 2.389815e-01 -4.026103e-01
1.990000e-01 9.236988e-01 -2.606859e+00 2.385918e-01 -3.770296e-01
2.000000e-01 9.210733e-01 -2.644010e+00 2.382272e-01 -3.522748e-01
2.010000e-01 9.184109e-01 -2.680704e+00 2.378869e-01 -3.283375e-01
2.020000e-01 9.157121e-01 -2.716941e+00 2.375702e-01 -3.052094e-01
2.030000e-01 9.129772e-01 -2.752725e+00 2.372763e-01 -2.828816e-01
2.040000e-01 9.102068e-01 -2.788055e+00 2.370042e-01 -2.613451e-01
